Aダイヤ 大阪駅 上り時刻表,,,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
22,普通,関空快速,普通,普通,関空快速,区間快速,普通,快速,普通,特急くろしお,普通,,,,,,,,,
,02,09,14,20,24,28,36,43,48,52,58,,,,,,,,,
,,関西空港,,桜島,関西空港/和歌山,加茂/五条,,日根野,天王寺,和歌山,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
23,快速,普通,快速,普通,快速,,,,,,,,,,,,,,,
,06,12,22,28,38,,,,,,,,,,,,,,,
,日根野,,日根野,,鳳,,,,,,,,,,,,,,,
,1,1,1,1,1,,,,,,,,,,,,,,,
0,普通,,,,,,,,,,,,,,,,,,,
,02,,,,,,,,,,,,,,,,,,,
,天王寺,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,
