休日ダイヤ 三ノ宮駅 上り時刻表,,,,,,,,,,,,,,,,,,
,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,
16,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,特急はまかぜ,普通,新快速,快速,普通,
,3,7,9,13,18,22,24,28,33,37,39,43,47,48,52,54,58,
,松井山手,米原方面敦賀,京都方面米原,京都,松井山手,京都方面草津,京都方面米原,京都,松井山手,米原方面長浜,京都方面米原,京都,大阪,松井山手,京都方面野洲,京都方面米原,京都,
,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,
17,特急ｽｰﾊﾟｰはくと,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,
,0,3,7,9,13,18,22,24,28,33,37,39,43,48,52,54,58,
,京都,松井山手,米原方面敦賀,京都方面米原,京都,松井山手,京都方面草津,京都方面米原,京都,松井山手,米原方面長浜,京都方面米原,京都,松井山手,京都方面草津,米原方面長浜,京都,
,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,
18,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,,
,3,7,9,13,18,22,24,28,33,37,39,43,48,52,54,58,,
,松井山手,米原方面敦賀,京都方面野洲,京都,松井山手,京都方面草津,京都方面米原,京都,松井山手,京都方面米原,京都方面野洲,京都,松井山手,京都方面野洲,京都方面米原,京都,,
,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,,
19,普通,新快速,快速,特急ｽｰﾊﾟｰはくと,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,特急はまかぜ,普通,新快速,快速,普通
,3,7,9,11,13,18,22,24,28,33,37,39,43,47,48,52,54,58
,松井山手,米原方面長浜,京都方面野洲,京都,京都,松井山手,京都方面野洲,京都方面米原,京都,京田辺,米原方面長浜,京都方面野洲,京都,大阪,松井山手,京都方面野洲,京都方面米原,京都
,2,1,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2
20,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,特急ｽｰﾊﾟｰはくと,普通,新快速,,,
,3,7,9,13,18,22,24,28,34,37,41,45,46,54,57,,,
,松井山手,米原方面長浜,京都方面野洲,京都,松井山手,京都方面野洲,京都方面米原,京都,同志社前,京都方面米原,京都方面野洲,京都,京都,高槻,京都方面野洲,,,
,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,,,
21,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,新快速,,,,,,
,1,5,14,17,21,25,34,37,41,46,54,57,,,,,,
,京都方面米原,京都,同志社前,京都方面米原,京都方面野洲,京都,高槻,京都方面米原,京都方面米原,京都,木津,京都方面野洲,,,,,,
,2,2,2,1,2,2,2,1,2,2,2,1,,,,,,
22,快速,普通,普通,新快速,快速,普通,普通,新快速,快速,普通,普通,,,,,,,
,1,5,14,17,21,25,34,37,41,45,55,,,,,,,
,京都方面米原,京都,京田辺,京都方面野洲,京都方面米原,京都,高槻,京都方面草津,京都方面野洲,高槻,高槻,,,,,,,
,2,2,2,1,2,2,2,1,2,2,2,,,,,,,
23,快速,普通,普通,新快速,普通,普通,,,,,,,,,,,,
,3,8,17,36,37,52,,,,,,,,,,,,
,京都方面野洲,京都,高槻,京都,放出,大阪,,,,,,,,,,,,
,2,2,2,1,2,2,,,,,,,,,,,,
0,普通,特急ｻﾝﾗｲｽﾞ瀬戸出雲,,,,,,,,,,,,,,,,
,10,11,,,,,,,,,,,,,,,,
,大阪,東京,,,,,,,,,,,,,,,,
,2,1,,,,,,,,,,,,,,,,
