Aダイヤ 武蔵小杉駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,,,,
21,急行,各停,通特,急行,各停,急行,各停,通特,急行,各停,急行,各停,通特,各停,急行,各停,通特,急行,各停,,,,,
,00,03,08,10,12,15,18,23,25,27,30,33,38,41,45,48,52,55,57,,,,,
,和光市,小手指,和光市,和光市,渋谷,渋谷,渋谷,川越市,和光市,志木,小手指,和光市,渋谷,石神井公園,渋谷,渋谷,和光市,森林公園,渋谷,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
22,急行,各停,通特,各停,急行,各停,通特,急行,各停,急行,各停,通特,各停,各停,通特,急行,各停,,,,,,,
,00,03,07,12,16,18,23,25,27,30,33,37,43,47,53,55,57,,,,,,,
,渋谷,渋谷,和光市,和光市,渋谷,和光市,渋谷,渋谷,渋谷,小手指,和光市,和光市,和光市,渋谷,渋谷,渋谷,和光市,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,
23,各停,通特,各停,急行,各停,通特,各停,急行,通特,各停,各停,通特,,,,,,,,,,,,
,03,07,11,14,18,22,27,30,37,41,45,52,,,,,,,,,,,,
,石神井公園,森林公園,渋谷,渋谷,渋谷,和光市,和光市,保谷,渋谷,自由が丘,池袋,渋谷,,,,,,,,,,,,
,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,
0,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,,
,00,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,
,新宿三丁目,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,渋谷,,
,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
