Aダイヤ 武蔵小杉駅 上り時刻表,,,,,,,,,,,,,,,,,,,,,
4,各停,,,,,,,,,,,,,,,,,,,,
22,各停,各停,各停,各停,各停,各停,各停,各停,各停,各停,,,,,,,,,,,
,04,08,13,19,26,33,38,44,49,56,,,,,,,,,,,
,西高島平,西高島平,赤羽岩淵,西高島平,西高島平,浦和美園,西高島平,浦和美園,西高島平,浦和美園,,,,,,,,,,,
,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
23,各停,各停,各停,急行,各停,各停,各停,各停,,,,,,,,,,,,,
,05,12,18,22,28,36,40,53,,,,,,,,,,,,,
,西高島平,西高島平,西高島平,浦和美園,浦和美園,高島平,浦和美園,目黒,,,,,,,,,,,,,
,3,3,3,3,3,3,3,3,,,,,,,,,,,,,
0,各停,各停,各停,,,,,,,,,,,,,,,,,,
,06,19,33,,,,,,,,,,,,,,,,,,
,目黒,目黒,奥沢,,,,,,,,,,,,,,,,,,
,3,3,3,,,,,,,,,,,,,,,,,,
